question,answers,ctxs,nq_annotated_gold.title,nq_annotated_gold.long_answer,nq_annotated_gold.chunked_long_answer,nq_annotated_gold.short_answers
what was the united states foreign policy after ww1 started,['neutrality'],"[{'title': 'History of U.S. foreign policy', 'text': 'With the outbreak of war in 1914, the United States declared neutrality and worked to broker a peace. It insisted on its neutral rights, which included allowing private corporations and banks to sell or loan money to either side. With the British blockade, there were almost no sales or loans to Germany, only to the Allies. The widely publicized German atrocities in Germany Shocked American public opinion. Neutrality was supported by Irish-Americans, who hated Britain, by German Americans who wanted to remain neutral, and by women and the churches. It was supported by the more educated upscale WASP element, led by Theodore Roosevelt. Wilson insisted on neutrality, denouncing both British and German violations, especially those German violations in which American civilians were killed. ', 'hasanswer': True, 'isgold': True}]",History of U.S. foreign policy,"American foreign policy was largely determined by President Woodrow Wilson, who had shown little interest in foreign affairs before entering the White House in 1913. His chief advisor was ""Colonel"" Edward House, who was sent on many top-level missions. With the outbreak of war in 1914, the United States declared neutrality and worked to broker a peace. It insisted on its neutral rights, which included allowing private corporations and banks to sell or loan money to either side. With the British blockade, there were almost no sales or loans to Germany, only to the Allies. The widely publicized German atrocities in Germany Shocked American public opinion. Neutrality was supported by Irish-Americans, who hated Britain, by German Americans who wanted to remain neutral, and by women and the churches. It was supported by the more educated upscale WASP element, led by Theodore Roosevelt. Wilson insisted on neutrality, denouncing both British and German violations, especially those German violations in which American civilians were killed. The German U-boat torpedoed the RMS Lusitania in 1915. It sank in 20 minutes, killing killed 128 American civilians and over 1000 Britons. It was against the laws of war to sink any passenger ship without allowing the passengers to reach the life boats. American opinion turned strongly against Germany as a bloodthirsty threat to civilization. Germany apologized and repeatedly promised to stop attacks by its U-boats, but reversed course in early 1917 when it saw the opportunity to strangle Britain by unrestricted submarine warfare. It also made overtures to Mexico, in the Zimmermann Telegram, hoping to divert American military attention to south of the border. The German decision was not made or approved by the civilian government in Berlin, the by the military commanders and the Kaiser. They realized it meant war with the United States, but hoped to weaken the British by cutting off its imports, and strike a winning below with German soldiers transferred from the Eastern front, where Russia had surrendered. Following the repeated sinking of American merchant ships in early 1917, Wilson asked and obtained a declaration of war in April 1917. He neutralized the antiwar element by arguing this was a war With the main goal of ending aggressive militarism and indeed ending all wars. During the war the U.S. was not officially tied to the Allies by treaty, but military cooperation meant that the American contribution became significant in mid-1918. After the failure of the German spring offensive, as fresh American troops arrived in France at 10,000 a day, the Germans were in a hopeless position, and surrendered. Coupled with Wilson's Fourteen Points in January 1918, the U.S. now had the initiative on the military, diplomatic and public relations fronts. Wilsonianism-- Wilson's ideals--had become the hope of the world, including the civilian population Germany itself.","With the outbreak of war in 1914, the United States declared neutrality and worked to broker a peace. It insisted on its neutral rights, which included allowing private corporations and banks to sell or loan money to either side. With the British blockade, there were almost no sales or loans to Germany, only to the Allies. The widely publicized German atrocities in Germany Shocked American public opinion. Neutrality was supported by Irish-Americans, who hated Britain, by German Americans who wanted to remain neutral, and by women and the churches. It was supported by the more educated upscale WASP element, led by Theodore Roosevelt. Wilson insisted on neutrality, denouncing both British and German violations, especially those German violations in which American civilians were killed. ",['neutrality']
when did world war 2 end in the pacific,"['14 and 15 August 1945', 'September 2, 1945']","[{'title': 'End of World War II in Asia', 'text': 'The end of World War II in Asia occurred on 14 and 15 August 1945, when armed forces of the Empire of Japan surrendered to the forces of the Allies.  The surrender came over three months after the surrender of the Axis forces in Europe and brought an end to World War II.', 'hasanswer': True, 'isgold': True}]",End of World War II in Asia,"The end of World War II in Asia occurred on 14 and 15 August 1945, when armed forces of the Empire of Japan surrendered to the forces of the Allies. The surrender came over three months after the surrender of the Axis forces in Europe and brought an end to World War II.","The end of World War II in Asia occurred on 14 and 15 August 1945, when armed forces of the Empire of Japan surrendered to the forces of the Allies.  The surrender came over three months after the surrender of the Axis forces in Europe and brought an end to World War II.",['14 and 15 August 1945']
how many seasons of vampire diaries r there,"['eight', '8']","[{'title': 'The Vampire Diaries', 'text': 'The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the popular book series of the same name written by L. J. Smith. The series premiered on The CW on September 10, 2009, and concluded on March 10, 2017, airing 171 episodes over eight seasons.', 'hasanswer': True, 'isgold': True}]",The Vampire Diaries,"The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the popular book series of the same name written by L. J. Smith. The series premiered on The CW on September 10, 2009, and concluded on March 10, 2017, airing 171 episodes over eight seasons.","The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the popular book series of the same name written by L. J. Smith. The series premiered on The CW on September 10, 2009, and concluded on March 10, 2017, airing 171 episodes over eight seasons.",['eight']
what is the legal age for marriage in australia,['18'],"[{'title': 'Marriage Act 1961 (Australia)', 'text': 'Part II (s.10-21) deals with the marriageable age and the marriage of minors. In the original 1961 Act, marriageable age was set at 16 for females and 18 for males. The marriageable age was equalised in 1991 by the Sex Discrimination Amendment Act 1991 which raised the marriageable age of females to 18.', 'hasanswer': True, 'isgold': True}]",Marriage Act 1961 (Australia),"Part II (s.10-21) deals with the marriageable age and the marriage of minors. In the original 1961 Act, marriageable age was set at 16 for females and 18 for males. The marriageable age was equalised in 1991 by the Sex Discrimination Amendment Act 1991 which raised the marriageable age of females to 18.","Part II (s.10-21) deals with the marriageable age and the marriage of minors. In the original 1961 Act, marriageable age was set at 16 for females and 18 for males. The marriageable age was equalised in 1991 by the Sex Discrimination Amendment Act 1991 which raised the marriageable age of females to 18.",['18']
who played doctor smith in lost in space,['Jonathan Harris'],"[{'title': 'Jonathan Harris', 'text': ""Jonathan Harris (born Jonathan Daniel Charasuchin; November 6, 1914 – November 3, 2002) was an American character actor.  Two of his best-known roles were as the timid accountant Bradford Webster in the television version of The Third Man and the fussy villain Dr. Zachary Smith of the 1960s science fiction series Lost in Space. Near the end of his career, he provided voices for the animated features A Bug's Life and Toy Story 2."", 'hasanswer': True, 'isgold': True}]",Jonathan Harris,"Jonathan Harris (born Jonathan Daniel Charasuchin; November 6, 1914 – November 3, 2002) was an American character actor. Two of his best-known roles were as the timid accountant Bradford Webster in the television version of The Third Man and the fussy villain Dr. Zachary Smith of the 1960s science fiction series Lost in Space. Near the end of his career, he provided voices for the animated features A Bug's Life and Toy Story 2.","Jonathan Harris (born Jonathan Daniel Charasuchin; November 6, 1914 – November 3, 2002) was an American character actor.  Two of his best-known roles were as the timid accountant Bradford Webster in the television version of The Third Man and the fussy villain Dr. Zachary Smith of the 1960s science fiction series Lost in Space. Near the end of his career, he provided voices for the animated features A Bug's Life and Toy Story 2.",['Jonathan Harris']
when does jo come in grey's anatomy,"['season 9', '2012', 'July 2012']","[{'title': 'Camilla Luddington', 'text': ""joined the cast of the Showtime comedy-drama series Californication for its fifth season, playing a nanny. She also joined the cast of season five of the HBO vampire drama True Blood, as Claudette Crane, a faerie. In July 2012, Luddington joined the cast of Grey's Anatomy as Dr. Jo Wilson in a recurring role. In June 2013 it was announced that she would be a series regular from season ten onward. In October 2012, Camilla appeared on a Halloween special of E!'s popular fashion programme, Fashion Police, alongside a panel of Joan Rivers, Kelly Osbourne, George Kotsiopoulos and Kris Jenner."", 'hasanswer': True, 'isgold': True}]",Camilla Luddington,"Luddington has worked mainly in the United States. In February 2011, the Daily Mail described her as ""on the path to fame and fortune after being cast as Catherine Middleton in William & Kate: The Movie, a TV movie about the relationship between Prince William and Catherine ""Kate"" Middleton. Luddington joined the cast of the Showtime comedy-drama series Californication for its fifth season, playing a nanny. She also joined the cast of season five of the HBO vampire drama True Blood, as Claudette Crane, a faerie. In July 2012, Luddington joined the cast of Grey's Anatomy as Dr. Jo Wilson in a recurring role. In June 2013 it was announced that she would be a series regular from season ten onward. In October 2012, Camilla appeared on a Halloween special of E!'s popular fashion programme, Fashion Police, alongside a panel of Joan Rivers, Kelly Osbourne, George Kotsiopoulos and Kris Jenner.","joined the cast of the Showtime comedy-drama series Californication for its fifth season, playing a nanny. She also joined the cast of season five of the HBO vampire drama True Blood, as Claudette Crane, a faerie. In July 2012, Luddington joined the cast of Grey's Anatomy as Dr. Jo Wilson in a recurring role. In June 2013 it was announced that she would be a series regular from season ten onward. In October 2012, Camilla appeared on a Halloween special of E!'s popular fashion programme, Fashion Police, alongside a panel of Joan Rivers, Kelly Osbourne, George Kotsiopoulos and Kris Jenner.","['2012', 'July 2012']"
what is the most common cause of right ventricular heart failure,"['left-sided heart failure', 'pulmonary heart disease']","[{'title': 'Heart failure', 'text': 'Right-sided heart failure is often caused by pulmonary heart disease (cor pulmonale), which is usually caused by difficulties of the pulmonary circulation, such as pulmonary hypertension or pulmonic stenosis.', 'hasanswer': True, 'isgold': True}]",Heart failure,"Right-sided heart failure is often caused by pulmonary heart disease (cor pulmonale), which is usually caused by difficulties of the pulmonary circulation, such as pulmonary hypertension or pulmonic stenosis.","Right-sided heart failure is often caused by pulmonary heart disease (cor pulmonale), which is usually caused by difficulties of the pulmonary circulation, such as pulmonary hypertension or pulmonic stenosis.",['pulmonary heart disease']
why dry ether is used in woods reaction,['to form a higher alkane'],"[{'title': 'Wurtz reaction', 'text': 'The Wurtz reaction, named after Charles-Adolphe Wurtz, is a coupling reaction in organic chemistry, organometallic chemistry and recently inorganic main group polymers, whereby two alkyl halides are reacted with sodium metal in dry ether solution to form a higher alkane:', 'hasanswer': True, 'isgold': True}]",Wurtz reaction,"The Wurtz reaction, named after Charles-Adolphe Wurtz, is a coupling reaction in organic chemistry, organometallic chemistry and recently inorganic main group polymers, whereby two alkyl halides are reacted with sodium metal in dry ether solution to form a higher alkane:","The Wurtz reaction, named after Charles-Adolphe Wurtz, is a coupling reaction in organic chemistry, organometallic chemistry and recently inorganic main group polymers, whereby two alkyl halides are reacted with sodium metal in dry ether solution to form a higher alkane:",['to form a higher alkane']
where was the new pete's dragon filmed,['New Zealand'],"[{'title': ""Pete's Dragon (2016 film)"", 'text': 'Principal photography commenced in January 2015 in New Zealand, with Lowery directing.  Rehearsals began early January 2015, while news reported the beginning of the shooting on January 26, 2015, set to last through April. Live-action filming locations included Bay of Plenty, Taupo and Wellington, while CGI was done at Stone Street Studios. On February 10, 2015, a press release confirmed that principal photography had commenced. Shooting took place in and around Wellington and Rotorua, before transferring to Tapanui, where the old Blue Mountain Lumber mill was used as the mill in the film, and the main street became Millhaven for', 'hasanswer': True, 'isgold': True}]",Pete's Dragon (2016 film),"Principal photography commenced in January 2015 in New Zealand, with Lowery directing. Rehearsals began early January 2015, while news reported the beginning of the shooting on January 26, 2015, set to last through April. Live-action filming locations included Bay of Plenty, Taupo and Wellington, while CGI was done at Stone Street Studios. On February 10, 2015, a press release confirmed that principal photography had commenced. Shooting took place in and around Wellington and Rotorua, before transferring to Tapanui, where the old Blue Mountain Lumber mill was used as the mill in the film, and the main street became Millhaven for two weeks. Production concluded on April 30, 2015.
","Principal photography commenced in January 2015 in New Zealand, with Lowery directing.  Rehearsals began early January 2015, while news reported the beginning of the shooting on January 26, 2015, set to last through April. Live-action filming locations included Bay of Plenty, Taupo and Wellington, while CGI was done at Stone Street Studios. On February 10, 2015, a press release confirmed that principal photography had commenced. Shooting took place in and around Wellington and Rotorua, before transferring to Tapanui, where the old Blue Mountain Lumber mill was used as the mill in the film, and the main street became Millhaven for",['New Zealand']
is it marley and me or marley and i,['Marley & Me'],"[{'title': 'Marley & Me (film)', 'text': ""Marley & Me is a 2008 American comedy-drama film about the titular dog, Marley. It was directed by David Frankel and the screenplay by Scott Frank and Don Roos is based on the memoir of the same name by John Grogan. The film stars Owen Wilson and Jennifer Aniston as Marley's owners. Marley & Me was released in the United States and Canada on December 25, 2008, and set a record for the largest Christmas Day box office ever with $14.75 million in ticket sales. The film was followed by a 2011 direct-to-video prequel, Marley & Me: The Puppy Years."", 'hasanswer': True, 'isgold': True}]",Marley & Me (film),"Marley & Me is a 2008 American comedy-drama film about the titular dog, Marley. It was directed by David Frankel and the screenplay by Scott Frank and Don Roos is based on the memoir of the same name by John Grogan. The film stars Owen Wilson and Jennifer Aniston as Marley's owners. Marley & Me was released in the United States and Canada on December 25, 2008, and set a record for the largest Christmas Day box office ever with $14.75 million in ticket sales. The film was followed by a 2011 direct-to-video prequel, Marley & Me: The Puppy Years.","Marley & Me is a 2008 American comedy-drama film about the titular dog, Marley. It was directed by David Frankel and the screenplay by Scott Frank and Don Roos is based on the memoir of the same name by John Grogan. The film stars Owen Wilson and Jennifer Aniston as Marley's owners. Marley & Me was released in the United States and Canada on December 25, 2008, and set a record for the largest Christmas Day box office ever with $14.75 million in ticket sales. The film was followed by a 2011 direct-to-video prequel, Marley & Me: The Puppy Years.",['Marley & Me']
where was a hologram for the king filmed,"['Morocco', 'Berlin and Düsseldorf in Germany', 'Berlin', 'Hurghada in Egypt', 'Düsseldorf in Germany', 'Egypt', 'Germany']","[{'title': 'A Hologram for the King (film)', 'text': 'Production was set to begin in first quarter of 2014. Principal photography commenced on March 6, 2014 in Morocco. Filming also took place in Hurghada in Egypt, as well as in Berlin and Düsseldorf in Germany.  Shooting wrapped in June 2014.', 'hasanswer': True, 'isgold': True}]",A Hologram for the King (film),"Production was set to begin in first quarter of 2014. Principal photography commenced on March 6, 2014 in Morocco. Filming also took place in Hurghada in Egypt, as well as in Berlin and Düsseldorf in Germany. Shooting wrapped in June 2014.","Production was set to begin in first quarter of 2014. Principal photography commenced on March 6, 2014 in Morocco. Filming also took place in Hurghada in Egypt, as well as in Berlin and Düsseldorf in Germany.  Shooting wrapped in June 2014.","['Berlin', 'Berlin and Düsseldorf in Germany', 'Düsseldorf in Germany', 'Egypt', 'Germany', 'Hurghada in Egypt', 'Morocco']"
who inaugurated 'world teachers' day',"['UNESCO', 'ILO']","[{'title': ""World Teachers' Day"", 'text': 'World Teachers\' Day, also known as International Teachers Day, is held annually on October 5. Established in 1994, it commemorates the signing of the 1966 ""Teaching in Freedom"". ""Empowering Teachers” is the theme of this year\'s (2017) World Teachers\' Day, celebrated around the world since 1994 after the UNESCO/ILO Recommendation concerning the Status of Teachers.\n', 'hasanswer': True, 'isgold': True}]",World Teachers' Day,"World Teachers' Day, also known as International Teachers Day, is held annually on October 5. Established in 1994, it commemorates the signing of the 1966 ""Teaching in Freedom"". ""Empowering Teachers” is the theme of this year's (2017) World Teachers' Day, celebrated around the world since 1994 after the UNESCO/ILO Recommendation concerning the Status of Teachers.
","World Teachers' Day, also known as International Teachers Day, is held annually on October 5. Established in 1994, it commemorates the signing of the 1966 ""Teaching in Freedom"". ""Empowering Teachers” is the theme of this year's (2017) World Teachers' Day, celebrated around the world since 1994 after the UNESCO/ILO Recommendation concerning the Status of Teachers.
","['ILO', 'UNESCO']"
what kind of animals live in the great victoria desert,"['malleefowl', 'water-holding frog', 'great desert skink', 'sandhill dunnart', 'dingo', 'sand goanna', 'crest-tailed mulgara', 'southern marsupial mole', 'chestnut-breasted whiteface', 'perentie']","[{'title': 'Great Victoria Desert', 'text': ""However, the desert does sustain many types of lizard including the vulnerable great desert skink (Egernia kintorei) and a number of small marsupials including the endangered sandhill dunnart (Sminthopsis psammophila) and the crest-tailed mulgara (Dasycercus cristicauda). One way to survive here is to burrow into the sands, as a number of the desert's animals, including the southern marsupial mole (Notoryctes typhlops), and the water-holding frog do. Birds include the chestnut-breasted whiteface (Aphelocephala pectoralis) found on the eastern edge of the desert and the malleefowl of Mamungari Conservation Park. Predators of the desert include the dingo (as the desert is north of the Dingo Fence) and two large monitor lizards, the perentie (Varanus giganteus) and the sand goanna (Varanus gouldii)."", 'hasanswer': True, 'isgold': True}]",Great Victoria Desert,"Wildlife adapted to these harsh conditions includes few large birds or mammals. However, the desert does sustain many types of lizard including the vulnerable great desert skink (Egernia kintorei) and a number of small marsupials including the endangered sandhill dunnart (Sminthopsis psammophila) and the crest-tailed mulgara (Dasycercus cristicauda). One way to survive here is to burrow into the sands, as a number of the desert's animals, including the southern marsupial mole (Notoryctes typhlops), and the water-holding frog do. Birds include the chestnut-breasted whiteface (Aphelocephala pectoralis) found on the eastern edge of the desert and the malleefowl of Mamungari Conservation Park. Predators of the desert include the dingo (as the desert is north of the Dingo Fence) and two large monitor lizards, the perentie (Varanus giganteus) and the sand goanna (Varanus gouldii).","However, the desert does sustain many types of lizard including the vulnerable great desert skink (Egernia kintorei) and a number of small marsupials including the endangered sandhill dunnart (Sminthopsis psammophila) and the crest-tailed mulgara (Dasycercus cristicauda). One way to survive here is to burrow into the sands, as a number of the desert's animals, including the southern marsupial mole (Notoryctes typhlops), and the water-holding frog do. Birds include the chestnut-breasted whiteface (Aphelocephala pectoralis) found on the eastern edge of the desert and the malleefowl of Mamungari Conservation Park. Predators of the desert include the dingo (as the desert is north of the Dingo Fence) and two large monitor lizards, the perentie (Varanus giganteus) and the sand goanna (Varanus gouldii).","['chestnut-breasted whiteface', 'crest-tailed mulgara', 'dingo', 'great desert skink', 'malleefowl', 'perentie', 'sand goanna', 'sandhill dunnart', 'southern marsupial mole', 'water-holding frog']"
what is the oath that new citizens take,['United States Oath of Allegiance'],"[{'title': 'Oath of Allegiance (United States)', 'text': 'The United States Oath of Allegiance, officially referred to as the ""Oath of Allegiance,"" 8 C.F.R. Part 337 (2008), is an allegiance oath that must be taken by all immigrants who wish to become United States citizens.', 'hasanswer': True, 'isgold': True}]",Oath of Allegiance (United States),"The United States Oath of Allegiance, officially referred to as the ""Oath of Allegiance,"" 8 C.F.R. Part 337 (2008), is an allegiance oath that must be taken by all immigrants who wish to become United States citizens.","The United States Oath of Allegiance, officially referred to as the ""Oath of Allegiance,"" 8 C.F.R. Part 337 (2008), is an allegiance oath that must be taken by all immigrants who wish to become United States citizens.",['United States Oath of Allegiance']
active absorption of water from the soil by the root is mainly affected by,"['SURFACE AREA OF ROOTS', 'ATP']","[{'title': 'Absorption of water', 'text': 'Active absorption refers to the absorption of water by roots with the help of ATP, generated by the root respiration: as the root cells actively take part in the process, it is called active absorption.  According to Renner, active absorption takes place in low transpiring and well-watered plants, and 4% of total water absorption is carried out in this process. The active absorption is carried out by two theories; active osmotic water absorption and Active non-osmotic water absorption. In this process energy is required.', 'hasanswer': True, 'isgold': True}]",Absorption of water,"Active absorption refers to the absorption of water by roots with the help of ATP, generated by the root respiration: as the root cells actively take part in the process, it is called active absorption. According to Renner, active absorption takes place in low transpiring and well-watered plants, and 4% of total water absorption is carried out in this process. The active absorption is carried out by two theories; active osmotic water absorption and Active non-osmotic water absorption. In this process energy is required.","Active absorption refers to the absorption of water by roots with the help of ATP, generated by the root respiration: as the root cells actively take part in the process, it is called active absorption.  According to Renner, active absorption takes place in low transpiring and well-watered plants, and 4% of total water absorption is carried out in this process. The active absorption is carried out by two theories; active osmotic water absorption and Active non-osmotic water absorption. In this process energy is required.",['ATP']
who played tom hagon in the godfather series,['Robert Duvall'],"[{'title': 'Tom Hagen', 'text': 'Thomas ""Tom"" Hagen is a fictional character in Mario Puzo\'s novel Godfather and Francis Ford Coppola\'s films The Godfather and The Godfather Part II. He is portrayed by Robert Duvall in the films.', 'hasanswer': True, 'isgold': True}]",Tom Hagen,"Thomas ""Tom"" Hagen is a fictional character in Mario Puzo's novel Godfather and Francis Ford Coppola's films The Godfather and The Godfather Part II. He is portrayed by Robert Duvall in the films.","Thomas ""Tom"" Hagen is a fictional character in Mario Puzo's novel Godfather and Francis Ford Coppola's films The Godfather and The Godfather Part II. He is portrayed by Robert Duvall in the films.",['Robert Duvall']
where are alkali metals located on the periodic table,"['in the s-block', 'group 1']","[{'title': 'Alkali metal', 'text': 'The alkali metals are a group (column) in the periodic table consisting of the chemical elements lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs), and francium (Fr). This group lies in the s-block of the periodic table of elements as all alkali metals have their outermost electron in an s-orbital: this shared electron configuration results in their having very similar characteristic properties.  Indeed, the alkali metals provide the best example of group trends in properties in the periodic table, with elements exhibiting well-characterised homologous behaviour.', 'hasanswer': True, 'isgold': True}]",Alkali metal,"The alkali metals are a group (column) in the periodic table consisting of the chemical elements lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs), and francium (Fr). This group lies in the s-block of the periodic table of elements as all alkali metals have their outermost electron in an s-orbital: this shared electron configuration results in their having very similar characteristic properties. Indeed, the alkali metals provide the best example of group trends in properties in the periodic table, with elements exhibiting well-characterised homologous behaviour.","The alkali metals are a group (column) in the periodic table consisting of the chemical elements lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs), and francium (Fr). This group lies in the s-block of the periodic table of elements as all alkali metals have their outermost electron in an s-orbital: this shared electron configuration results in their having very similar characteristic properties.  Indeed, the alkali metals provide the best example of group trends in properties in the periodic table, with elements exhibiting well-characterised homologous behaviour.",['in the s-block']
who was the temple of vesta built for,['Vesta'],"[{'title': 'Temple of Vesta', 'text': 'All temples to Vesta were round, and had entrances facing east to symbolize connection between Vesta’s fire and the sun as sources of life. The Temple of Vesta represents the site of ancient cult activity as far back as 7th century BCE. Numa Pompilius is believed to have built this temple along with the original Regia and House of the Vestal Virgins in its original form.  Around the Temple stood The Sacred Grove, in which also there was a graveyard for the priests and virgins.', 'hasanswer': True, 'isgold': True}]",Temple of Vesta,"All temples to Vesta were round, and had entrances facing east to symbolize connection between Vesta’s fire and the sun as sources of life. The Temple of Vesta represents the site of ancient cult activity as far back as 7th century BCE. Numa Pompilius is believed to have built this temple along with the original Regia and House of the Vestal Virgins in its original form. Around the Temple stood The Sacred Grove, in which also there was a graveyard for the priests and virgins.","All temples to Vesta were round, and had entrances facing east to symbolize connection between Vesta’s fire and the sun as sources of life. The Temple of Vesta represents the site of ancient cult activity as far back as 7th century BCE. Numa Pompilius is believed to have built this temple along with the original Regia and House of the Vestal Virgins in its original form.  Around the Temple stood The Sacred Grove, in which also there was a graveyard for the priests and virgins.",['Vesta']
who was the captain of the mayflower which brought the pilgrims to plymouth,"['Master Christopher Jones', 'Christopher Jones']","[{'title': 'Mayflower', 'text': ""Aft on the main deck in the stern was the cabin for Master Christopher Jones, measuring about ten by seven feet (3 m × 2.1 m).  Forward of that was the steerage room, which housed a whipstaff (tiller extension) for sailing control; not a wheel, as in later ships. Also here was the ship's compass and probably also berths for the ship's officers. Forward of the steerage room was the capstan, a vertical axle used to pull in ropes or cables. Far forward on the main deck, just aft of the bow, was the forecastle space where the ship's cook"", 'hasanswer': True, 'isgold': True}]",Mayflower,"Aft on the main deck in the stern was the cabin for Master Christopher Jones, measuring about ten by seven feet (3 m × 2.1 m). Forward of that was the steerage room, which housed a whipstaff (tiller extension) for sailing control; not a wheel, as in later ships. Also here was the ship's compass and probably also berths for the ship's officers. Forward of the steerage room was the capstan, a vertical axle used to pull in ropes or cables. Far forward on the main deck, just aft of the bow, was the forecastle space where the ship's cook prepared meals for the crew; it may also have been where the ship's sailors slept.","Aft on the main deck in the stern was the cabin for Master Christopher Jones, measuring about ten by seven feet (3 m × 2.1 m).  Forward of that was the steerage room, which housed a whipstaff (tiller extension) for sailing control; not a wheel, as in later ships. Also here was the ship's compass and probably also berths for the ship's officers. Forward of the steerage room was the capstan, a vertical axle used to pull in ropes or cables. Far forward on the main deck, just aft of the bow, was the forecastle space where the ship's cook",['Master Christopher Jones']
when was the last time the jets won a playoff game,['2010'],"[{'title': 'History of the New York Jets', 'text': '1996. The following year, the Jets hired two-time Super Bowl winning coach Bill Parcells. The new coach guided the team to its most successful season since the merger in 1998; the Jets finished 12–4 and reached the AFC Championship Game, in which they fell to the Denver Broncos. The team made five playoff appearances in the 2000s, their most of any decade. In 2009 and 2010, the Jets achieved back-to-back appearances in the AFC Championship Game, losing to the Indianapolis Colts and Pittsburgh Steelers. In 2010, the team began to play in MetLife Stadium, constructed near the now-demolished Giants Stadium.', 'hasanswer': True, 'isgold': True}]",History of the New York Jets,"In the following eleven seasons, New York had limited success, reaching the playoffs only once and enduring a string of disastrous seasons, including a 1–15 record in 1996. The following year, the Jets hired two-time Super Bowl winning coach Bill Parcells. The new coach guided the team to its most successful season since the merger in 1998; the Jets finished 12–4 and reached the AFC Championship Game, in which they fell to the Denver Broncos. The team made five playoff appearances in the 2000s, their most of any decade. In 2009 and 2010, the Jets achieved back-to-back appearances in the AFC Championship Game, losing to the Indianapolis Colts and Pittsburgh Steelers. In 2010, the team began to play in MetLife Stadium, constructed near the now-demolished Giants Stadium.","1996. The following year, the Jets hired two-time Super Bowl winning coach Bill Parcells. The new coach guided the team to its most successful season since the merger in 1998; the Jets finished 12–4 and reached the AFC Championship Game, in which they fell to the Denver Broncos. The team made five playoff appearances in the 2000s, their most of any decade. In 2009 and 2010, the Jets achieved back-to-back appearances in the AFC Championship Game, losing to the Indianapolis Colts and Pittsburgh Steelers. In 2010, the team began to play in MetLife Stadium, constructed near the now-demolished Giants Stadium.",['2010']
colby chees is named after a town in what state,['Wisconsin'],"[{'title': 'Colby cheese', 'text': ""In 1885, Joseph F. Steinwand developed a new type of cheese at his father's cheese factory near Colby, Wisconsin.  The cheese was named after the village, which had been founded three years earlier. While Colby cheese is still widely available, it is no longer produced in Colby. A festival commemorating the cheese is held every year in mid-July where all local food booths offer free Colby cheese. On August 12, 2015, the original cheese factory was torn down leaving only the foundations of the building."", 'hasanswer': True, 'isgold': True}]",Colby cheese,"In 1885, Joseph F. Steinwand developed a new type of cheese at his father's cheese factory near Colby, Wisconsin. The cheese was named after the village, which had been founded three years earlier. While Colby cheese is still widely available, it is no longer produced in Colby. A festival commemorating the cheese is held every year in mid-July where all local food booths offer free Colby cheese. On August 12, 2015, the original cheese factory was torn down leaving only the foundations of the building.","In 1885, Joseph F. Steinwand developed a new type of cheese at his father's cheese factory near Colby, Wisconsin.  The cheese was named after the village, which had been founded three years earlier. While Colby cheese is still widely available, it is no longer produced in Colby. A festival commemorating the cheese is held every year in mid-July where all local food booths offer free Colby cheese. On August 12, 2015, the original cheese factory was torn down leaving only the foundations of the building.",['Wisconsin']
who plays lady talisa in game of thrones,"['Oona Castilla Chaplin', 'Oona Chaplin']","[{'title': 'Oona Chaplin', 'text': 'Oona Castilla Chaplin [ˈuna kasˈtija ˈt͡ʃaplin] (born 4 June 1986), known professionally as Oona Chaplin, is a Spanish actress.  Her roles include Talisa Maegyr in the HBO TV series Game of Thrones, The Crimson Field and the series Taboo.', 'hasanswer': True, 'isgold': True}]",Oona Chaplin,"Oona Castilla Chaplin [ˈuna kasˈtija ˈt͡ʃaplin] (born 4 June 1986), known professionally as Oona Chaplin, is a Spanish actress. Her roles include Talisa Maegyr in the HBO TV series Game of Thrones, The Crimson Field and the series Taboo.","Oona Castilla Chaplin [ˈuna kasˈtija ˈt͡ʃaplin] (born 4 June 1986), known professionally as Oona Chaplin, is a Spanish actress.  Her roles include Talisa Maegyr in the HBO TV series Game of Thrones, The Crimson Field and the series Taboo.","['Oona Castilla Chaplin', 'Oona Chaplin']"
